dataset_id,municipality_id,value
1,1,295683
1,2,181275
1,3,235562
1,4,34989
1,5,57219
1,6,65119
1,7,40777
1,8,60118
1,9,36044
1,10,33220
1,11,11865
1,12,2983
1,13,3183
1,14,6597
1,15,10873
1,16,9229
1,17,1529
1,18,15717
1,19,10494
1,20,8021
1,21,14780
1,22,13913
1,23,12164
1,24,14017
1,25,16241
1,26,10316
1,27,4771
1,28,18681
1,29,11057
1,30,24166
1,31,6193
1,32,7109
1,33,2327
1,34,2349
1,35,10854
1,36,18218
1,37,5903
1,38,19200
1,39,14450
1,40,2694
2,1,298033
2,2,182532
2,3,236535
2,4,35623
2,5,57970
2,6,65770
2,7,41130
2,8,60668
2,9,36604
2,10,33484
2,11,12142
2,12,3122
2,13,3226
2,14,6843
2,15,11145
2,16,9473
2,17,1554
2,18,15909
2,19,10767
2,20,8082
2,21,15081
2,22,14142
2,23,12468
2,24,14143
2,25,16539
2,26,10162
2,27,4839
2,28,18915
2,29,11099
2,30,24207
2,31,6331
2,32,7163
2,33,2405
2,34,2393
2,35,11045
2,36,18486
2,37,6042
2,38,19532
2,39,14608
2,40,2794
