dataset_id,municipality_id,value
1,1,824.61
1,2,524.2
1,3,305.54
1,4,217.05
1,5,404.18
1,6,725.65
1,7,119.87
1,8,864.16
1,9,253.55
1,10,346.01
1,11,217.09
1,12,125.27
1,13,80.65
1,14,230.29
1,15,343.08
1,16,488.89
1,17,246.02
1,18,37.29
1,19,163.43
1,20,22.35
1,21,41.88
1,22,46.43
1,23,216.32
1,24,81.68
1,25,337.23
1,26,83.89
1,27,126.38
1,28,326.5
1,29,252.68
1,30,71.96
1,31,52.1
1,32,295.27
1,33,69.55
1,34,135.04
1,35,151.79
1,36,177.67
1,37,241.98
1,38,153.12
1,39,94.01
1,40,150.77
2,1,297618
2,2,182487
2,3,236434
2,4,35502
2,5,57885
2,6,65714
2,7,41162
2,8,60549
2,9,36514
2,10,33477
2,11,12086
2,12,3088
2,13,3207
2,14,6789
2,15,11084
2,16,9450
2,17,1548
2,18,15895
2,19,10686
2,20,8085
2,21,15015
2,22,14094
2,23,12422
2,24,14116
2,25,16510
2,26,10192
2,27,4816
2,28,18893
2,29,11057
2,30,24232
2,31,6305
2,32,7152
2,33,2384
2,34,2380
2,35,11030
2,36,18427
2,37,5992
2,38,19454
2,39,14607
2,40,2762
3,1,299250
3,2,183378
3,3,237327
3,4,36015
3,5,58392
3,6,66146
3,7,41338
3,8,60922
3,9,37088
3,10,33684
3,11,12291
3,12,3185
3,13,3267
3,14,7021
3,15,11401
3,16,9644
3,17,1582
3,18,16006
3,19,10944
3,20,8159
3,21,15210
3,22,14247
3,23,12688
3,24,14245
3,25,16714
3,26,10225
3,27,4871
3,28,19089
3,29,11119
3,30,24254
3,31,6354
3,32,7225
3,33,2454
3,34,2421
3,35,11235
3,36,18671
3,37,6160
3,38,19770
3,39,14688
3,40,2840
